__label__ClH	Hydrogen chloride
__label__HO	Hydroxyl radical
__label__CClO	Carbonyl chloride
__label__BrH	Hydrogen bromide
__label__H	Hydrogen atom
__label__CS	Carbon monosulfide
__label__CHN	Hydrogen cyanide
__label__CO2	Carbon dioxide
__label__CH3	Methyl radical
__label__BHO	Boron hydride oxide
__label__C2H4O	Acetaldehyde
__label__Br	Bromine
__label__C2H	Ethynyl radical
__label__CO	Carbon monoxide
__label__CHO	Formyl radical
__label__C8H12	1,5-Cyclooctadiene
__label__H2O	Water
__label__C4H6	2-Butyne
__label__O2	Oxygen
__label__CH2O	Formaldehyde
__label__HO2	Hydroperoxy radical
__label__H2	Hydrogen
__label__NO2	Nitrogen dioxide
__label__C3H4	Allene
__label__FH	hydrogen fluoride
__label__C7H10	Bicyclo[3.2.0]hept-6-ene
__label__N2	Nitrogen
__label__Cl	Chlorine atom
__label__HNO	Nitrosyl hydride
__label__C2H2	Acetylene
__label__D	Deuterium
__label__C2H4O2	Methyl formate
__label__C60	Buckminsterfullerene
__label__C2H3	Vinyl radical
__label__CH2O2	Formic acid
__label__C2HF	Ethyne, fluoro-
__label__CH4O	Methyl Alcohol
__label__Mg	magnesium
__label__N2O	Nitrous oxide
__label__HNO2	Nitrous acid
__label__OSi	silicon monoxide
__label__O2Si	Dioxosilane
__label__Al	Aluminum
__label__NO	Nitric oxide
__label__NSi	silicon nitride
__label__HN	Imidogen
__label__CH3N	Methanimine
__label__C3H8	Propane
__label__C2F2	Ethyne, difluoro-
__label__C9H12	cis,cis,cis-Cyclononatriene
__label__C4H6O4	Ethanedioic acid, dimethyl ester
__label__CH3FO	Methyl hypofluorite
__label__FHO	HypoFluorous acid
__label__FO	Oxygen monofluoride
__label__CH3O	Methoxy radical
__label__F	Fluorine atom
__label__C8H8	o-Xylylene
__label__C8H8	Bicyclo[4.2.0]octa-1,3,5-triene
__label__C3H6O	Propen-2-ol
__label__C2H4O	Ethenol
__label__CH4	Methane
__label__C2H2O	Ethynol
__label__C3H6	Propene
__label__C2H5N	Acetaldimine
__label__C2H3N	Acetonitrile
__label__C2H4O2	Acetic acid
__label__C3H6O	Propanal
__label__C4H8O	2-Butanone
__label__C2H5	Ethyl radical
__label__C3H4O	2-Propenal
__label__S2	Sulfur dimer
__label__S	sulfur
__label__C2H2Cl2	Ethene, 1,1-dichloro-
__label__CF2O	Carbonic difluoride
__label__CH4S	Methanethiol
__label__C2H2O	Ketene
__label__B2H6	Diborane
__label__BH3	Borane
__label__N	Nitrogen atom
__label__CN-	Cyanide anion
__label__O	Oxygen, atomic
__label__HS	Mercapto radical
__label__O2S	Sulfur dioxide
__label__D2	Deuterium
__label__CH3O	Hydroxymethyl radical
__label__C8H12	cis-1,2-Divinylcyclobutane
__label__CF3	Trifluoromethyl radical
__label__C2H4	Ethylene
__label__H2N2	(Z)-Diazene
__label__C3H4	Propyne
__label__ClO	Monochlorine monoxide
__label__ClHO	Hypochlorous acid
__label__C5HMnO5	Hydromanganese pentacarbonyl
__label__C5MnO5	Monomanganese, pentacarbonyl-
__label__D2N	Amidogen-d2
__label__DF	[2H]hydrogen fluoride
__label__DN	Imidogen-d
__label__HNO3	Nitric acid
__label__Ni	nickel
__label__C4H6	1,3-Butadiene
__label__DH	deuterium hydride
__label__C2H6O	Ethanol
__label__H2N	Amino radical
__label__H3ISi	Iodosilane
__label__DO	Hydroxyl-d
__label__D2O	Deuterium oxide
__label__ClH3Si	chlorosilane
__label__BrH3Si	Silane, bromo-
__label__BH	Borane(1)
__label__C6CrO6	Chromium hexacarbonyl
__label__C5CrO5	Cr(CO)5
__label__CH	Methylidyne
__label__C2F4	Ethene, tetrafluoro-
__label__AlHO	Aluminum hydroxide
__label__AlO	Aluminum monoxide
__label__NO3	Nitrate Radical
__label__C2	Dicarbon
__label__NP	Phosphorus mononitride
__label__CP	Carbon monophosphide
__label__NS	Mononitrogen monosulfide
__label__C6H6	Benzene
__label__CCl2O	Phosgene
__label__ClNO2	Nitryl chloride
__label__FNO2	nitryl fluoride
__label__CH2S	Thioformaldehyde
__label__COS	Carbonyl sulfide
__label__FNO3	Fluorine nitrate
__label__FNO	nitrosyl fluoride
__label__N2O5	Dinitrogen pentoxide
__label__N2O4	Dinitrogen tetroxide
__label__CHNO	Isocyanic acid
__label__I	Iodine atom
__label__OS	Sulfur monoxide
__label__Si2	Silicon dimer
__label__N2O3	Dinitrogen trioxide
__label__Br2	Bromine
__label__F4N2	Tetrafluorohydrazine
__label__F2N	Difluoroamino radical
__label__F3N	Nitrogen trifluoride
__label__DHO	Water-d
__label__O3	Ozone
